<<<<<<< HEAD
offensive,class,tokenized,clean_tweet
Yes,1,"['call', 'woman', 'bitch', 'get']", call women bitches get
No,2,"['sav', 'nice', 'love', 'twat']", sav nicee love twat
No,2,"['soon', 'democrat', 'get', 'chanc', 'polit', 'hack', 'goe', 'commerci', 'back', 'bolton', 'lmao']",soon democrat gets chance political hack goes commercial back bolton lmao
No,2,"['dont', 'want', 'deal', 'yesterday', 'trash', 'there', 'reason', 'got', 'thrown', 'first', 'place']",dont want deal yesterdays trash theres reason got thrown first place
Yes,1,"['dumb', 'hoe', 'move', 'snail', 'pace', 'lifeim', 'coo']", dumb hoes moving snails pace lifeim coo
Yes,1,"['support', 'niggaz', 'bitch', 'dope', 'shit', 'west', 'side', 'citi', 'la']",support niggaz bitches dope shit west side city la
Yes,1,"['well', 'isnt', 'bitch', 'wildcard', 'go']",well isnt bitch wildcards going
Yes,1,"['pretti', 'mother', 'fucker', 'pull', 'bitch', 'like']",pretty mother fucker pull bitch likee
No,2,"['part', 'cousin', 'danni', 'yanke', 'swap', 'pretti', 'hilari', 'clever', 'danni', 'httptcofkdeyzqt']", part cousin dannys yankee swap pretty hilarious clever danny httptcofkdeyzqt
Yes,1,"['haha', 'much', 'pay', 'constantli', 'know', 'your', 'talk', 'dumb', 'as', 'wade', 'trash']",haha much payed constantly know youre talking dumb ass wade trash
Yes,1,"['cant', 'listen', 'joe', 'bitch', 'thing', 'tell', 'half', 'truth', 'viewer', 'deserv', 'better']",cant listen joe bitch things tell half truths viewers deserve better
No,2,"['monkey', 'poor', 'bottl']",monkey poor bottles
No,2,"['earli', 'bird', 'get', 'worm']",early bird get worm
Yes,1,"['yes', 'bitch', 'messyyi']",yess bitch messyyy
Yes,1,"['amp', 'ion', 'bitch', 'yeah', 'what', 'understood', 'dont', 'need', 'explain']",amp ion bitch yeah whats understood dont need explained
No,2,"['hgwell', 'charli', 'chaplin', 'httptcostiddhkwt']",hgwells charlie chaplin httptcostiddhkwt
Yes,1,"['im', 'say', 'one', 'point', 'life', 'deont', 'took', 'cuf', 'bitch', 'year', 'later', 'fuck']", im saying one point life deonte took cuffed bitch year later fucked
Yes,1,"['im', 'type', 'fight', 'bitch', 'nigga', 'im', 'type', 'say', 'fucc', 'amp', 'take', 'bitch']",im type fight bitch nigga im type say fucc amp take bitch
No,2,"['jihadi', 'claim', 'shot', 'armi', 'mi', 'attack', 'helicopt', 'beji', 'amp', 'identifi', 'pilot', 'name', 'rank']",jihadis claim shot army mi attack helicopter beji amp identify pilot name rank
Yes,1,"['yall', 'bitch', 'fake', 'wan', 'na', 'b', 'get', 'yall', 'life']",yall bitches fake wanna bs get yall life
Yes,1,"['lmao', 'rt', 'lmao', 'rt', 'youll', 'never', 'vega', 'faggot', 'punk', 'bitch']",lmao rt lmao rt youll never vegas faggot punk bitch
Yes,1,"['bitch', 'taught', 'know', 'mess', 'up']",bitch taught know mess ups
Yes,1,"['got', 'pic', 'line', 'stay', 'grind', 'tell', 'bitch', 'time', 'bitch', 'get', 'car', 'got', 'ridin', 'dayton', 'spoke']",got pic lines stay grind tell bitch time bitch get car got ridin dayton spokes
No,2,"['like', 'video', 'httptcoqgnhildttv', 'sock', 'fairi', 'short', 'film']",liked video httptcoqgnhildttv sock fairy short film
Yes,1,"['motherfucka', 'tryna', 'hate', 'whip', 'act', 'like', 'got', 'cooler', 'interiorlight', 'speaker', 'hell', 'nah', 'bitch', 'boy', 'httptcotrbopwkaug']",motherfuckas tryna hate whip acting like got cooler interiorlight speakers hell nah bitch boys httptcotrbopwkaug
Yes,1,"['shout', 'as', 'bitch', 'never', 'give', 'nigga', 'hard', 'time']",shouts ass bitches never give nigga hard time
No,2,"['day', 'feel', 'bout', 'color', 'folk']",day feel bout colored folk
No,2,"['hank', 'come', 'last', 'night', 'ghetto', 'one', 'el', 'could', 'handl']",hanks coming last night ghetto one else could handled
Yes,1,"['shut', 'bitch', 'im', 'tri', 'sleep']",shut bitch im trying sleep
Yes,1,"['miley', 'cyru', 'kinda', 'look', 'like', 'retard', 'care', 'bear']",miley cyrus kinda looks like retarded care bear
No,2,"['jeremi', 'lin', 'dunk', 'lebron', 'yanke', 'cap', 'celebr', 'tebow', 'front', 'brett', 'favr', 'would', 'espn', 'exp']", jeremy lin dunked lebron yankees cap celebrated tebowing front brett favre would espn exp
No,2,"['wellhow', 'yanke', 'year', 'run']",wellhow yankees year run
Yes,1,"['woman', 'stay', 'brag', 'man', 'peni', 'wonder', 'friend', 'fuck', 'himsmh', 'silli', 'silli', 'hoe']",women stay bragging mans penis wonder friend fucked himsmh silly silly hoe
Yes,1,"['seen', 'baddest', 'bitch', 'tower', 'citi', 'heart', 'got', 'warm']",seen baddest bitch tower city heart got warm
Yes,1,"['went', 'got', 'bitch']",went got bitch
Yes,1,"['lovin', 'pussi', 'pic']",lovin pussy pics
No,2,"['like', 'worst', 'lyric', 'post', 'beauti', 'dont', 'know', 'theyr', 'talk', 'trash']",like worst lyrics post beautiful dont know theyre talking trash
No,2,"['yay', 'like', 'jacob', 'color', 'layout']",yay like jacob colored layouts
No,2,"['killer', 'line', 'josh', 'smith', 'drop', 'killer', 'trash', 'talk', 'line', 'kenneth', 'httptcocdsjoupj']", killer line josh smith dropped killer trash talk line kenneth httptcocdsjoupj
Yes,1,"['friday', 'bitch']",friday bitches
Yes,1,"['one', 'take', 'woman', 'take', 'hoe']",one take woman take hoe
Yes,1,"['bitch', 'as', 'nikka', 'took', 'flight', 'frm']", bitch ass nikka took flight frm
No,2,"['best', 'asian', 'massag', 'park', 'slope', 'top', 'rate', 'spa', 'httptcobrelzxrw']",best asian massage park slope top rated spa httptcobrelzxrw
Yes,1,"['wussup', 'bitch']",wussup bitch
Yes,1,"['ye', 'love', 'sex', 'told', 'yo', 'bitch', 'rubber']",yes love sex told yo bitch rubbers
Yes,1,"['cuz', 'peopl', 'work', 'bitch', 'shit', 'talker', 'yeah', 'dude', 'need', 'girl', 'night']",cuz people work bitches shit talkers yeah dude need girls night
No,2,"['steek', 'morel', 'vinger', 'maar', 'j', 'neu', 'zelfd', 'soort', 'type', 'bij', 'nato', 'stenigt', 'vrouwen', 'bosj']",steek morele vinger maar j neus zelfde soort types bij nato stenigt vrouwen bosjes
Yes,1,"['ex', 'hit', 'miss', 'bullshit', 'lol', 'bitch', 'die']",ex hits miss bullshit lol bitch die
No,2,"['espn', 'yanke', 'game', 'recap', 'sellout', 'crowd', 'brave', 'degre', 'temperatur', 'lol', 'that', 'weather', 'struggl']",espn yankees game recap sellout crowd braved degree temperatures lol thats weather struggle
No,2,"['perman', 'slit', 'eyebrow', 'tumbl', 'bleacher', 'littl', 'stay', 'er']",permanent slit eyebrow tumbled bleachers little stayed er
Yes,1,"['your', 'wear', 'sweatshirt', 'snapchat', 'stori', 'hoe', 'love', 'tho', 'lol']",youre wearing sweatshirt snapchat story hoe love tho lol
No,2,"['new', 'bu', 'stop', 'guy', 'across', 'street', 'yell', 'david', 'lee', 'roth', 'kick', 'swoop', 'crow', 'learn', 'karat']", new bus stop guy across street yelling david lee roth kicks swooping crows learn karate
Yes,1,"['see', 'u', 'oldhead', 'rock', 'bruce', 'lee', 'top', 'durag', 'park', 'randomli', 'give', 'group', 'street', 'nigga', 'ghetto', 'karat', 'class']",see u oldhead rocking bruce lee top durag park randomly giving group street niggas ghetto karate class
Yes,1,"['bitch', 'amanda', 'ran', 'away']",bitch amanda ran away
No,2,"['love', 'float', 'monkey', 'head', 'much', 'next', 'person', 'activ', 'surplu', 'websit', 'redonkulu', 'httpwwwactivesurpluscom']",love floating monkey heads much next person active surplus website redonkulus httpwwwactivesurpluscom
No,2,"['dawg', 'rt', 'man', 'anoth', 'trash', 'thursday', 'night', 'game']",dawg rt man another trash thursday night game
Yes,1,"['bein', 'bitch']", bein bitch
No,2,"['browni', 'made', 'sin']",brownies made sin
Yes,1,"['current', 'emotionbrok', 'as', 'bitch']",current emotionbroke ass bitch
No,2,"['here', 'reason', 'yanke', 'dont', 'want', 'anderson', 'longer']",heres reason yankees dont want anderson longer
Yes,1,"['cant', 'save', 'hoe']",cant save hoes
No,2,"['long', 'go', 'let', 'fool', 'continu', 'stop', 'pussi', 'footin', 'amp', 'dispers', 'whatev', 'mean', 'necessari']",long going let fools continue stop pussy footin amp disperse whatever means necessary
Yes,1,"['got', 'love', 'bitch', 'bitch', 'nigga', 'cuh']", got love bitches bitch niggas cuh
Yes,1,"['mich', 'time', 'p', 'p', 'hold', 'nigga', 'bitch', 'catch']",mich time p p hold nigga bitch catch
Yes,1,"['unlik', 'yall', 'bore', 'as', 'bitch', 'lol']",unlike yall boring ass bitches lol
No,2,"['honk', 'horn', 'second', 'light', 'turn', 'green', 'shut', 'car', 'lay', 'hood', 'feed', 'bird', 'fo']", honk horn seconds light turns green shut car lay hood feed birds fo
No,2,"['yeah', 'run', 'squirrel', 'coon']",yeah run squirrels coons
Yes,1,"['get', 'head', 'twitter', 'niggah', 'that', 'bracken', 'ima', 'babi', 'momma', 'killa', 'yo', 'bitch', 'get', 'httptcofakeszwl']",get head twitter niggahs thats bracken ima baby momma killa yo bitch get httptcofakeszwl
No,2,"['peep', 'got', 'ta', 'mad', 'ghetto', 'nowaday', 'smh', 'pull', 'pant']",peeps gotta mad ghetto nowadays smh pull pants
No,2,"['whoo', 'new', 'attract', 'virginia', 'citi', 'bird', 'prey', 'meet', 'owl', 'famou', 'role', 'harri', 'potter', 'httptconfshsccr']",whoo new attraction virginia city birds prey meet owl famous role harry potter httptconfshsccr
No,2,"['morn', 'trash', 'httptcoxbawwvom']",morning trash httptcoxbawwvom
No,2,"['h', 'incomplet', 'slant', 'look', 'like', 'better', 'option', 'shame', 'there', 'youth', 'amp', 'lack', 'trust', 'go']",h incompletion slants looked like better options shame theres youth amp lack trust going
No,2,"['love', 'chunki', 'babi']",love chunky babies
No,2,"['joba', 'chamberlain', 'look', 'like', 'homeless', 'guy', 'contest']",joba chamberlain looks like homeless guy contest
Yes,1,"['know', 'right', 'wast', 'time', 'think', 'hr', 'till', 'start', 'day', 'im', 'retard']",know right wasting time thinking hr till start day im retarded
Yes,1,"['ast', 'loud', 'n', 'pussi', 'tongu']",aste loud n pussy tongue
No,2,"['come', 'man', 'rt', 'oreo', 'need', 'chill', 'rt', 'know', 'good', 'nah', 'httptcomwqxgvfw']",come man rt oreo needs chill rt know good nah httptcomwqxgvfw
No,2,"['along', 'french', 'blue', 'bugg', 'bunni', 'vii', 'oreo', 'iv']",along french blue buggs bunny viis oreo ivs
No,2,"['may', 'may', 'least', 'fob', 'relat', 'tattoo', 'alreadi', 'plan']",may may least fob related tattoos already planned
No,2,"['yeah', 'okay', 'let', 'put', 'fire', 'cracker', 'cow', 'pie', 'see', 'happen']",yeah okay lets put fire cracker cow pie see happens
Yes,1,"['push', 'wall', 'slowli', 'take', 'panti', 'write', 'alphabet', 'ur', 'tongu', 'tight', 'pussi']",push wall slowly take panties write alphabet ur tongue tight pussy
No,2,"['bumcia', 'trash', 'smfh', 'wouldv', 'thought', 'would', 'gone', 'khan', 'said', 'make', 'sen']",bumcia trash smfh wouldve thought would gone khan said makes sense
No,2,"['found', 'arm', 'trash', 'receptacl', 'leg', 'mud', 'streamyou', 'consid', 'keep', 'better', 'track', 'limb']",found arm trash receptacle leg mud streamyou consider keeping better track limbs
Yes,1,"['build', 'pussi', 'lmao']",building pussy lmao
No,2,"['alarm', 'set', 'earli', 'bird', 'n', 'night', 'xx']",alarm set early bird n night xx
No,2,"['singl', 'wasp', 'could', 'read', 'tweet', 'could', 'peac', 'treati', 'wasp', 'man', 'wasp']", single wasp could read tweets could peace treaty wasps man wasps
Yes,1,"['bitch', 'work', 'gone', 'make', 'slap', 'head', 'fuckin', 'neck']", bitch work gone make slap head fuckin neck
No,2,"['see', 'feel', 'betray', 'racism', 'come', 'shock', 'didnt', 'call', 'uncl', 'tom', 'bitter', 'loser']",see feel betrayed racism comes shocked didnt call uncle tom bitter loser
Yes,1,"['somebodi', 'find', 'bitch', 'amp', 'fuck', 'aint', 'good', 'dick', 'fuck', 'fat', 'nigga', 'http']", somebody find bitch amp fuck aint good dick fucking fat nigga http
No,2,"['feb', 'jordan', 'retro', 'remast', 'oreo', 'httptconboaxg']", feb jordan retro remastered oreo httptconboaxgs
Yes,1,"['bitch', 'lol']",bitch lol
No,2,"['daggon', 'twin', 'kick', 'notch', 'time', 'beat', 'yanke']",daggone twins kick notch time beat yankees
No,2,"['ive', 'shot', 'go', 'yellow', 'smoke']",ive shots go yellow smoke
No,2,"['charli', 'crist', 'pull', 'one', 'rick', 'scott', 'well', 'pull', 'one', 'dem', 'tonit']",charlie crist pull one rick scott well pull one dems tonite
No,2,"['love', 'place', 'bring', 'car', 'toi', 'dont', 'know', 'spanish', 'men', 'love', 'sometim', 'look', 'like', 'guala', 'though', 'lol']",love place bring car toi dont know spanish men love sometimes look like guala though lol
Yes,1,"['exot', 'bitch', 'exot', 'thing', 'hoe', 'aint', 'loyal']",exotic bitches exotic things hoes aint loyal
Yes,1,"['god', 'your', 'faggot', 'dont', 'think', 'superman', 'best', 'superhero']",god youre faggot dont think superman best superhero
Yes,1,"['barber', 'bein', 'abl', 'cut', 'hair', 'yesterday', 'realli', 'prevent', 'goin', 'club', 'gettin', 'mad', 'bitch', 'b', 'owe', 'free', 'cut']",barber bein able cut hair yesterday really prevented goin club gettin mad bitches b owe free cuts
Yes,1,"['want', 'bitch', 'tip', 'toein', 'marbl', 'floor']",wants bitches tip toein marble floors
No,2,"['yeah', 'hoe', 'babi', 'innoc', 'lol', 'gabriella', 'still', 'got', 'sister', 'birthd']", yeah hoe babies innocent lol gabriella still got sister birthd
Yes,1,"['god', 'niggaa', 'tryna', 'say', 'aid', 'longer', 'shit', 'like', 'bitch', 'ebola']",god niggaa tryna say aids longer shit like bitch ebola
No,2,"['john', 'mccain', 'trash', 'jay', 'carni', 'live', 'cnn', 'httptcoztbktri']",john mccain trashes jay carny live cnn httptcoztbktri
No,2,"['never', 'realli', 'rock', 'white', 'sole', 'feel', 'ya', 'bro', 'favorit', 'foam', 'time', 'httptcoltssnifj']",never really rocked white sole feel ya bro favorite foam time httptcoltssnifj
Yes,1,"['iont', 'got', 'type', 'bad', 'bitch', 'thing', 'like', 'ayee', 'throw', 'as', 'sphere']",iont got type bad bitches thing like ayeee throw ass sphere
Yes,1,"['opinion', 'irrelev', 'cunt']", opinion irrelevant cunt
Yes,1,"['hoe', 'wake']", hoes wake
Yes,1,"['like', 'honestli', 'embarrass', 'around', 'someon', 'look', 'your', 'trash']", like honestly embarrassed around someone look youre trash
Yes,1,"['figur', 'hoe', 'wan', 'na', 'play', 'game', 'fuck', 'em', 'leav', 'em']",figured hoes wanna play games fuck em leave em
No,2,"['yeah', 'sorri', 'monkey', 'team', 'keep', 'kick', 'ppl', 'wait', 'muh', 'pizza']",yeah sorry monkey team keeps kicking ppl waiting muh pizza
Yes,1,"['dont', 'get', 'im', 'either', 'pussi', 'troll', 'room', 'truth', 'opinion', 'tl', 'social', 'medium', 'fuck']",dont get im either pussy troll room truth opinions tl social media fucked
Yes,1,"['she', 'hoe', 'she', 'slut', 'she', 'freak']",shes hoe shes slut shes freak
No,2,"['wake', 'middl', 'night', 'chug', 'orang', 'juic', 'straight', 'bottl', 'sorri', 'mom']", wake middle night chug orange juice straight bottle sorry mom
No,2,"['red', 'hot', 'chili', 'pepper', 'longest', 'nipslip', 'super', 'bowl', 'half', 'time', 'show', 'histori']", red hot chili peppers longest nipslip super bowl half time show history
No,2,"['surrend', 'divin', 'conqueror', 'apocalyps', 'httptcoqvrsyp', 'via', 'gtorient', 'black', 'metal', 'hell']",surrender divinity conquerors apocalypse httptcoqvrsyp via gtoriental black metal hell
No,2,"['open', 'starburst', 'candi', 'get', 'yellow', 'httptcofddbfezb', 'lmao', 'bruh']",open starburst candy get yellows httptcofddbfezb lmao bruh
Yes,1,"['alabama', 'tho', 'roll', 'tide', 'bitch']",alabama tho roll tide bitch
Yes,1,"['weekin', 'hoe']",weekin hoe
No,2,"['im', 'bed', 'like', 'half', 'asleep', 'stuff', 'realli', 'want', 'oreo', 'coffe', 'coolatta']",im bed like half asleep stuff really want oreo coffee coolatta
Yes,1,"['shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya']", shit hear might true might faker bitch told ya
No,2,"['mind', 'free', 'soul', 'satan', 'present', 'u', 'kingdom', 'thing', 'mock', 'u', 'stay', 'strong', 'yahshua']",mind free soul satan present u kingdom things mock u stay strong yahshua
No,2,"['wiz', 'khalifass', 'song', 'black', 'yellow', 'beauti', 'song', 'bruis', 'banana']", wiz khalifass song black yellow beautiful song bruised banana
No,2,"['glad', 'aint', 'got', 'bird', 'leg']",glad aint got bird legs
Yes,1,"['wife', 'dat', 'bitch', 'mani', 'nigga', 'fuck', 'cliqu', 'mani', 'nigga', 'actin', 'rich', 'dese', 'boppin', 'hoe', 'dick']", wife dat bitch many niggas fucked clique many niggas actin rich dese boppin hoes dick
No,2,"['penguin', 'bird', 'puppi', 'bowl']",penguins bird puppy bowl
No,2,"['fake', 'tit', 'hoe', 'u', 'guess', 'twitpic', 'halloween', 'costum', 'httptcoecsnlekka']",fake tits hoe u guess twitpic halloween costumes httptcoecsnlekka
No,2,"['extra', 'yellow']",extra yellow
Yes,1,"['dont', 'fail', 'bitch']",dont fail bitch
No,2,"['hope', 'charli', 'brought', 'lube', 'test']",hope charlie brought lube test
No,2,"['hey', 'dont', 'u', 'get', 'involv', 'black', 'black', 'situat', 'caus', 'hate', 'whitey', 'b', 'honest']",hey dont u get involved black black situations cause hate whitey b honest
Yes,1,"['smell', 'fri', 'chicken', 'as', 'mile', 'away', 'boi', 'clean', 'nasti', 'as', 'ear', 'ratchet', 'bitch']",smell fried chicken ass mile away boi clean nasty ass ears ratchet bitch
No,2,"['foster', 'home', 'imaginari', 'trash', 'whoa', 'chill', 'show', 'everyth', 'tf']",fosters home imaginary trash whoa chill show everything tf
No,2,"['via', 'charli', 'angu', 'send', 'made', 'china', 'canadian', 'flag', 'pin', 'back', 'conserv', 'httptinyurlcomdmt']",via charlie angus sending made china canadian flag pins back conservatives httptinyurlcomdmt
Yes,1,"['put', 'tit', 'back', 'shit', 'bitch']",put tits back shit bitch
No,2,"['best', 'friend', 'say', 'dont', 'need', 'love', 'right', 'think', 'soon', 'love', 'monkey']",best friend says dont need love right thinks soon love monkey
Yes,1,"['hoe', 'shit', 'u', 'got', 'em']",hoes shit u got em
Yes,1,"['hoe', 'wanta']", hoe wanta
Yes,1,"['need', 'ran', 'theo', 'theo', 'homi', 'rock', 'cool', 'need', 'free', 'shit', 'hoe']",need ran theo theo homie rocking cool need free shit hoes
Yes,1,"['either', 'way', 'make', 'bitch']",either way makes bitch
No,2,"['bird', 'messi']",birds messy
Yes,1,"['low', 'self', 'esteem', 'nigga', 'walk', 'around', 'braggin', 'bitch', 'fuck', 'someth', 'prove', 'ppl']", low self esteem niggas walk around braggin bitches fucked something prove ppl
No,2,"['dont', 'like', 'peac', 'that', 'bore', 'like', 'fight', 'come', 'ghetto', 'u', 'rememb', 'p', 'imposs']",dont like peaceful thats boring like fighting come ghetto u remember p impossible
Yes,1,"['sniff', 'httptcofhhbbrmybn', 'perv', 'scalli', 'lad', 'fuck', 'yeah']",sniff httptcofhhbbrmybn perved scally lad fuck yeah
No,2,"['yall', 'bio', 'trash', 'mine', 'pretti', 'good']",yall bios trash mine pretty good
No,2,"['aurora', 'ghetto', 'bello']", aurora ghetto bellos
Yes,1,"['ya', 'bitch', 'alway', 'bitch', 'clearli', 'care', 'annoy', 'bitch']",ya bitch always bitching clearly care annoying bitch
Yes,1,"['shoot', 'bitch', 'as', 'stupid', 'shit', 'like', 'key', 'car', 'bust', 'window']",shoot bitches ass stupid shit like key car bust windows
Yes,1,"['wan', 'na', 'make', 'bos', 'happi', 'bitch', 'talk', 'nasti']",wanna make boss happy bitch talk nasty
No,2,"['video', 'dont', 'hurt', 'hit', 'jumper', 'rooki', 'proce', 'talk', 'trash', 'httptcomlnvaim', 'ht']", video dont hurt hits jumper rookie proceeds talk trash httptcomlnvaim ht
No,2,"['hot', 'social', 'medium', 'photo', 'laugh', 'jihadi', 'get', 'babi', 'kick', 'sever', 'head', 'warn', 'graphic', 'httptcoxdpszwjsk']",hot social media photo laughing jihadis get baby kick severed head warning graphic httptcoxdpszwjsk
No,2,"['need', 'start', 'mcbob', 'william', 'shoot', 'let', 'play', 'bird']",need start mcbob williams shoot let play bird
No,2,"['ealli', 'tempt', 'let', 'redneck', 'side', 'drink', 'lot', 'beer', 'sing', 'countri', 'karaok']",eally tempted let redneck side drink lot beer sing country karaoke
Yes,1,"['it', 'tat', 'dont', 'say', 'shit', 'boy', 'like', 'dont', 'check', 'insuffer', 'bitch', 'call', 'best', 'friend']",it tat dont say shit boy like dont check insufferable bitch call best friend
Yes,1,"['dont', 'worri', 'bitch', 'use', 'fuck', 'wit']",dont worry bitches use fuck wit
Yes,1,"['aint', 'killer', 'dont', 'push', 'reveng', 'like', 'sweetest', 'joy', 'next', 'get', 'pussi']",aint killer dont push revenge like sweetest joy next getting pussy
Yes,1,"['wack', 'bitch', 'make', 'curv']",wack bitches make curve
Yes,1,"['love', 'bitch', 'never', 'act', 'hollywood']", love bitch never act hollywood
Yes,1,"['nigga', 'solv', 'rubik', 'cube', 'magic', 'trick', 'amp', 'still', 'aint', 'get', 'pussi']",nigga solving rubik cubes magic tricks amp still aint getting pussy
Yes,1,"['hoe', 'give', 'lil', 'sista', 'eye', 'like', 'betta', 'call', 'go', 'jump', 'bitch']", hoe give lil sista eye like betta call go jump bitch
Yes,1,"['nigga', 'fight', 'nba', 'theyr', 'call', 'ghetto', 'amp', 'dont', 'know', 'act', 'there', 'brawl', 'nascar', 'nobodi', 'sa']", niggas fight nba theyre called ghetto amp dont know act theres brawl nascar nobody sa
No,2,"['girl', 'wear', 'bathrob', 'still', 'cuz', 'realli', 'cute', 'fuzzi', 'bathrob', 'victoria', 'secret', 'even', 'ok', 'wear']",girls wear bathrobes still cuz really cute fuzzy bathrobe victorias secret even ok wear
Yes,1,"['lmao', 'nigga', 'yo', 'avi', 'trash', 'phone', 'wont', 'even', 'load', 'shit']",lmao nigga yo avi trash phone wont even load shit
